Datetime,Value,Activity
03/07/2024 14:33:00,Lunch; 250 gms Mattakurnai rice + 200 gms saag + 200 gms beans parrupu usili + 100 gms white pumpkin mor kootu,Meal
03/07/2024 10:42:00,Breakfast; 3 dosas with chutney + 1 cup masala chai,Meal
03/06/2024 20:06:00,Dinner; 400 ml ginger tomato soup + 1 toasted sourdough bread,Meal
03/06/2024 17:44:00,Evening Snack; 150 gms coconut yogurt with 30 gms sunflower and pumpkin seeds,Meal
03/06/2024 14:19:00,Lunch; 200 mg black rice kichadi + 1 makki roti + 200 gms saag,Meal
03/06/2024 10:31:00,Breakfast; 1.5 slices sourdough toasted bread with mozzarella cheese + 1 cup masala chai,Meal
03/06/2024 9:56:00,166.2 lbs,Weight
03/06/2024 9:16:00,40 mins; indoor cycling; 325 cals,Exercise
03/05/2024 19:53:00,Dinner; 200 ml mixed vegetable soup + 1 small slice sourdough bread,Meal
03/05/2024 17:20:00,Evening Snack; 100 gms pita chips with 100 gms hummus + 150 gms coconut yogurt with 30 gms pumpkin and sunflower seeds,Meal
03/05/2024 13:54:00,Lunch; 400 gms black rice kichadi + 1 cucumber,Meal
03/05/2024 11:01:00,Morning Drink; 1 cup masala chai,Meal
03/05/2024 9:55:00,Breakfast; 3 dosas + 30 ml sambar + chutneys,Meal
03/05/2024 9:32:00,166.4 lbs,Weight
03/05/2024 9:31:00,30 mins; indoor cycling; 250 cals,Exercise
03/04/2024 20:46:00,Dinner; 1 medium apple pear fruit,Meal
03/04/2024 16:32:00,Lunch; 200 gms hand pounded brown rice + 300 ml pumpkin sambar + 100 gms bitter gourd curry,Meal
03/04/2024 13:39:00,Afternoon Snack; 1 small caramel macchiato coffee,Meal
03/04/2024 9:20:00,Breakfast; 300 ml Goji berry chia kefir smoothie with 1 tbsp almond butter + 5 gms sunflower seeds + 5 gms pumpkin seeds,Meal
03/04/2024 8:16:00,30 mins; indoor cycling; 250 cals,Exercise
03/03/2024 20:10:00,Dinner; 400 ml ginger tomato soup + small pesto focaccia bread,Meal
03/03/2024 14:31:00,Lunch; 200 gms Mattakurnai rice + 350 gms Thai green curry,Meal
03/03/2024 10:48:00,Breakfast; Goji berry chia kefir pudding with 30 gms mixed nuts,Meal
03/03/2024 10:34:00,166.2 lbs,Weight
03/03/2024 9:30:00,40 mins; indoor cycling; 325 cals,Exercise
03/02/2024 20:37:00,Dinner; 250 ml ginger tomato soup + 2 paneer pakoras + 2 onion pakoras,Meal
03/02/2024 12:34:00,Lunch; 2 cups masala chai + 2 small samosa + 4 pakoras + 50 gms cake,Meal
03/02/2024 10:51:00,Breakfast; 200 gms corn rava upma,Meal
03/02/2024 9:33:00,166.6 lbs,Weight
03/02/2024 9:11:00,30 mins; indoor cycling; 250 cals,Exercise
03/01/2024 20:51:00,Dinner; 1 toasted sourdough bread with mozzarella cheese + 400 ml sweet corn soup,Meal
03/01/2024 17:45:00,Evening Drink; 1.5 cups Kefir + 30 gms mixed nuts,Meal
03/01/2024 12:51:00,Lunch; 150 gms black rice noodles + 350 gms Thai green curry,Meal
03/01/2024 10:07:00,Breakfast; 1.3 millet moong daal adai,Meal
03/01/2024 9:18:00,168.0 lbs,Weight
03/01/2024 8:07:00,30 mins; indoor cycling; 225 cals,Exercise
02/29/2024 20:57:00,Dinner; 400 ml ginger tomato soup + 1.5 slices sourdough bread,Meal
02/29/2024 18:41:00,Evening Drink; 1 cup masala chai,Meal
02/29/2024 13:52:00,Lunch; 200 gms white basmati rice + 400 gms long beans curry + 400 ml moong daal,Meal
02/29/2024 10:19:00,Breakfast; 1 cup black tea + 40 gms mixed nuts + 50 gms grapes,Meal
02/29/2024 9:37:00,167.8 lbs,Weight
02/28/2024 19:45:00,Dinner; 1 avacado guacamole with corn chips and 1 cucumber,Meal
02/28/2024 17:01:00,Afternoon Snack; 150 gms coconut yogurt with 25 gms mixed nuts,Meal
02/28/2024 14:15:00,Lunch; 300 ml ginger tomato soup + 1.5 slices toasted sourdough bread,Meal
02/28/2024 10:44:00,Morning Drink; 1 cup masala chai,Meal
02/28/2024 9:51:00,Breakfast; 2 medium moong daal cheela with paneer masala stuffing,Meal
02/28/2024 9:29:00,167.8 lbs,Weight
02/28/2024 7:51:00,35 mins; indoor cycling; 275 cals,Exercise
02/27/2024 18:31:00,Dinner; 400 gms bhel puri + 3 mini onion samosas,Meal
02/27/2024 13:25:00,Lunch; 200 gms hand-pounded rice + turnip curry + ridge guard kootu,Meal
02/27/2024 9:39:00,Breakfast; Chia seeds 400 ml kefir drink with pumpkin and sunflower seeds,Meal
02/27/2024 7:23:00,35 mins; indoor cycling; 250 cals,Exercise
02/26/2024 19:32:00,Dinner; 2 slices ghee toasted white bread,Meal
02/26/2024 14:53:00,Lunch; 100 gms Mattakurnai rice + 400 gms soy chunks curry,Meal
02/26/2024 12:03:00,Morning Drink; 1 cup kefir,Meal
02/26/2024 9:31:00,Breakfast; 200 gms oats upma,Meal
02/26/2024 9:01:00,168.6 lbs,Weight
02/26/2024 7:56:00,35 mins; indoor cycling; 250 cals,Exercise
02/25/2024 20:32:00,Dinner; 1 avocado guacamole with 2 white bread slices,Meal
02/25/2024 17:11:00,Evening Snack; 50 gms roasted puffed makhana + 1 cup masala chai,Meal
02/25/2024 13:45:00,Lunch; 200 gms black rice + white pumpkin mor kootu + karela curry,Meal
02/25/2024 10:52:00,Breakfast; 2 medium moong dal paneer cheela,Meal
02/25/2024 10:33:00,166.6 lbs,Weight
02/25/2024 9:48:00,40 mins; indoor cycling; 275 cals,Exercise
